pos_x,pos_y,pos_z
3516009630621697125986074624000.00,0.00,2.09
1.13,0.67,2.12
1.14,0.57,0.78
1.40,0.38,0.72
1.41,0.38,1.46
1.18,0.67,1.20
1.24,0.68,1.20
1.24,0.63,1.19
1.25,0.58,1.16
1.26,0.53,1.14
1.28,0.48,1.00
1.32,0.37,0.92
1.34,0.37,0.83
1.36,0.38,0.76
1.37,0.39,0.71
1.38,0.38,0.67
1.39,0.38,0.62
1.40,0.38,0.59
1.41,0.38,0.55
1.42,0.38,0.52
1.43,0.38,0.49
1.43,0.39,2.05
0.95,0.68,2.06
0.95,0.61,1.43
1.14,0.63,1.27
1.17,0.61,1.25
1.18,0.55,1.22
1.19,0.50,1.16
1.21,0.46,1.09
1.24,0.43,0.97
1.27,0.38,0.89
1.30,0.38,0.81
1.32,0.38,0.74
1.33,0.39,0.69
1.35,0.38,0.65
1.36,0.38,0.61
1.37,0.38,0.57
1.38,0.38,0.54
1.39,0.38,0.50
1.40,0.38,2.03
0.86,0.68,2.05
0.85,0.59,2.05
0.86,0.49,2.04
0.87,0.39,1.26
1.12,0.48,1.18
1.14,0.44,1.13
1.17,0.40,1.04
1.20,0.39,0.95
1.22,0.38,0.86
1.25,0.38,0.79
1.28,0.39,0.73
1.30,0.39,0.68
1.31,0.38,0.63
1.33,0.39,0.59
1.34,0.39,0.55
1.35,0.39,0.52
1.36,0.38,0.49
1.37,0.39,1.99
0.76,0.69,2.01
0.76,0.60,2.02
0.76,0.50,2.03
0.75,0.39,1.26
1.05,0.40,1.13
1.10,0.39,1.02
1.14,0.38,0.94
1.17,0.37,0.84
1.21,0.38,0.77
1.24,0.39,0.72
1.26,0.38,0.66
1.28,0.38,0.61
1.30,0.39,0.58
1.31,0.38,0.54
1.32,0.38,0.51
1.33,0.37,0.48
1.35,0.38,1.95
0.67,0.70,1.85
0.71,0.44,1.11
1.04,0.39,1.00
1.08,0.38,0.90
1.13,0.39,0.82
1.16,0.38,0.75
1.20,0.39,0.69
1.22,0.39,0.64
1.24,0.39,0.60
1.26,0.39,0.56
1.28,0.39,0.52
1.30,0.39,0.49
1.31,0.38,0.46
1.32,0.38,1.94
0.56,0.71,1.94
0.56,0.61,1.96
0.54,0.51,1.96
0.52,0.28,1.08
0.98,0.39,0.98
1.03,0.38,0.89
1.07,0.38,0.81
1.11,0.38,0.73
1.15,0.39,0.67
1.18,0.39,0.62
1.21,0.39,0.58
1.23,0.39,0.54
1.25,0.39,0.51
1.27,0.39,0.48
1.28,0.39,0.45
1.29,0.39,1.86
0.49,0.72,1.86
0.48,0.63,1.87
0.46,0.53,1.87
0.45,0.42,1.86
0.44,0.31,1.06
0.91,0.39,0.95
0.97,0.39,0.86
1.02,0.39,0.78
1.07,0.39,0.71
1.11,0.39,0.65
1.15,0.40,0.61
1.17,0.39,0.56
1.19,0.39,0.52
1.22,0.39,0.49
1.24,0.39,0.46
1.25,0.39,0.43
1.27,0.39,1.82
0.39,0.73,1.84
0.37,0.63,1.84
0.35,0.53,1.83
0.34,0.43,1.83
0.32,0.31,1.06
0.83,0.38,0.93
0.91,0.39,0.84
0.97,0.38,0.77
1.01,0.38,0.69
1.07,0.39,0.63
1.10,0.39,0.59
1.13,0.39,0.54
1.16,0.39,0.51
1.18,0.39,0.48
1.20,0.39,0.45
1.22,0.39,0.42
1.24,0.39,1.76
0.31,0.74,1.77
0.29,0.65,1.78
0.26,0.55,1.81
0.21,0.43,1.80
0.19,0.31,1.80
0.17,0.18,1.02
0.77,0.39,0.91
0.85,0.38,0.83
0.90,0.38,0.75
0.96,0.38,0.67
1.02,0.39,0.62
1.06,0.39,0.56
1.10,0.40,0.53
1.13,0.39,0.49
1.15,0.39,0.46
1.17,0.39,0.43
1.19,0.39,0.41
1.21,0.39,1.77
0.18,0.74,1.77
0.15,0.65,1.74
0.15,0.55,1.74
0.12,0.44,1.74
0.09,0.32,1.76
0.03,0.18,1.79
-0.03,0.02,0.89
0.78,0.38,0.80
0.86,0.38,0.73
0.91,0.38,0.66
0.97,0.38,0.60
1.01,0.38,0.55
1.05,0.39,0.51
1.09,0.39,0.48
1.12,0.39,0.45
1.14,0.39,0.42
1.16,0.39,0.39
1.18,0.39,1.71
0.09,0.75,1.72
0.05,0.66,1.70
0.04,0.56,1.67
0.03,0.46,1.65
0.01,0.35,1.66
-0.04,0.21,1.73
-0.17,0.03,1.54
-0.01,-0.01,0.79
0.79,0.37,0.71
0.86,0.38,0.64
0.92,0.38,0.59
0.97,0.38,0.53
1.02,0.39,0.50
1.05,0.39,0.46
1.08,0.39,0.43
1.11,0.39,0.40
1.13,0.39,0.38
1.16,0.39,1.62
0.04,0.77,1.63
-0.01,0.67,1.67
-0.09,0.56,1.66
-0.12,0.45,1.65
-0.16,0.33,1.64
-0.20,0.21,1.63
-0.25,0.06,0.68
0.81,0.38,0.62
0.87,0.38,0.56
0.93,0.39,0.52
0.98,0.39,0.48
1.01,0.39,0.45
1.04,0.39,0.42
1.07,0.38,0.39
1.10,0.39,0.36
1.13,0.39,1.64
-0.13,0.77,1.63
-0.16,0.68,1.61
-0.19,0.58,1.59
-0.21,0.47,1.58
-0.25,0.35,1.60
-0.35,0.20,1.63
-0.46,0.03,0.95
0.26,0.01,0.54
0.88,0.38,0.50
0.93,0.38,0.46
0.97,0.39,0.43
1.01,0.39,0.40
1.04,0.38,0.37
1.07,0.38,0.35
1.10,0.39,1.61
-0.36,0.57,1.61
-0.43,0.45,1.61
-0.49,0.33,1.58
-0.53,0.20,1.58
-0.62,0.03,0.89
0.29,0.18,0.86
0.27,0.09,0.79
0.33,0.04,0.48
0.88,0.38,0.44
0.94,0.39,0.41
0.98,0.39,0.38
1.01,0.39,0.36
1.04,0.39,0.33
1.07,0.39,1.08
1.25,0.42,1.06
1.35,0.37,1.13
1.28,0.49,1.77
0.72,0.33,1.81
0.74,0.38,1.36
0.94,0.40,0.37
1.19,0.39,1.01
0.70,0.37,0.75
1.38,0.38,0.82
1.40,0.38,0.56
1.44,0.38,0.74
1.16,0.38,0.49
1.30,0.38,0.43
1.30,0.39,0.97
1.29,0.38,1.13
1.30,0.43,1.10
1.33,0.47,1.27
0.89,0.38,0.75
1.36,0.38,1.27
0.96,0.38,1.07
0.94,0.38,1.96
0.59,0.44,0.49
1.35,0.38,0.71
1.22,0.38,0.62
1.42,0.38,0.42
1.11,0.39,0.79
1.06,0.38,0.68
1.42,0.38,0.68
1.15,0.38,0.73
1.13,0.38,0.36
1.14,0.39,1.36
0.94,0.40,1.07
0.94,0.38,1.87
0.75,0.39,0.47
1.38,0.39,0.36
1.11,0.38,0.37
1.19,0.39,1.33
-0.13,0.00,0.51
1.35,0.38,0.48
1.27,0.38,0.49
1.29,0.38,1.12
1.26,0.44,1.15
1.25,0.48,0.62
1.42,0.38,0.71
1.21,0.38,0.55
1.41,0.38,0.42
1.09,0.37,1.23
0.55,0.33,1.00
1.29,0.37,1.11
1.26,0.44,1.00
0.66,0.36,1.12
1.26,0.44,0.54
1.08,0.38,1.19
0.60,0.36,0.50
1.34,0.37,1.12
1.08,0.38,0.99
1.04,0.38,0.97
1.01,0.39,1.00
1.02,0.39,0.95
1.04,0.39,0.89
1.09,0.39,0.87
1.07,0.39,0.90
1.07,0.39,0.86
1.09,0.39,0.81
1.13,0.38,0.80
1.10,0.38,0.82
1.11,0.38,0.78
1.13,0.39,0.96
0.99,0.39,0.95
0.96,0.39,0.98
0.95,0.38,0.92
0.99,0.39,0.87
1.04,0.38,0.86
1.01,0.38,0.89
1.01,0.38,0.84
1.04,0.39,0.79
1.08,0.39,0.78
1.05,0.38,0.81
1.05,0.38,0.76
1.08,0.39,0.94
0.93,0.39,0.92
0.90,0.39,0.95
0.90,0.39,0.92
0.92,0.38,0.85
0.98,0.38,0.84
0.95,0.38,0.87
0.95,0.38,0.82
0.98,0.38,0.77
1.03,0.38,0.76
1.01,0.38,0.78
1.01,0.39,0.75
